hex,r,g,b,gs,cluster_size,pantone_hex,pantone_name,group_id,cluster_id,ref_cat,ref_name
#f9e4cd,249,228,205,231.41,539,f3e0d6,powder-puff,5,145,Brown,BlanchedAlmond
#b3d2e1,179,210,225,202.26,1204,717f9b,country-blue,8,146,Blue,LightSteelBlue
#286683,40,102,131,86.73,540,1f5da0,strong-blue,0,147,None,None
#fd8701,253,135,1,154.75,439,,,2,148,Orange,DarkOrange
#271d14,39,29,20,30.93,786,,,0,149,None,None
#797eaf,121,126,175,129.97,355,a09998,ash,11,150,Grey,SlateGray
#fdb501,253,181,1,181.75,280,,,2,151,Orange,Orange
#7a8da1,122,141,161,137.48,714,a49e9e,opal-gray,11,152,Grey,SlateGray
#1e655e,30,101,94,78.94,292,262c2a,jet-set,0,153,None,None
#f9baa5,249,186,165,202.19,348,f2d8cd,soft-pink,3,154,Pink,LightPink
#01232f,1,35,47,26.2,638,,,0,155,None,None
#ded3e1,222,211,225,215.66,767,f1e8df,gardenia,11,156,Grey,Silver
#3b4b44,59,75,68,69.36,1211,4a4139,wren,10,157,White,White
#87afb8,135,175,184,163.93,721,7181a4,english-manor,0,158,None,None
#474244,71,66,68,67.65,1048,5f575c,rabbit,10,159,White,White
#a599b9,165,153,185,160.07,331,b1b09f,agate-gray,11,160,Grey,Gray
#b2717b,178,113,123,133.4,228,c5a582,latte,0,161,None,None
#037db2,3,125,178,94.56,277,,,0,162,None,None
#7598b0,117,152,176,144.15,779,5a77a8,blue-yonder,7,163,Cyan,CadetBlue
#b5b6b1,181,182,177,180.95,1194,c1bcac,pelican,11,164,Grey,Gray
#79614e,121,97,78,101.89,554,4a3f41,shale,0,165,None,None
#3fb9e2,63,185,226,153.13,60,433331,java,0,166,None,None
#c5ae92,197,174,146,177.49,619,9f8672,amphora,5,167,Brown,Tan
#a53c0a,165,60,10,85.53,48,b44e5d,holly-berry,5,168,Brown,SaddleBrown
#1e120a,30,18,10,20.65,706,,,0,169,None,None
#a04b3c,160,75,60,98.55,49,a17249,brown-sugar,5,170,Brown,Sienna
#5ea6b2,94,166,178,145.75,415,86a1a9,tourmaline,7,171,Cyan,CadetBlue
#017b91,1,123,145,89.03,257,478589,teal,7,172,Cyan,DarkCyan
#5e6c8b,94,108,139,107.25,405,8e918f,neutral-gray,11,173,Grey,DarkSlateGray
#623321,98,51,33,62.9,289,7e5c54,nutmeg,0,174,None,None
#28323b,40,50,59,48.0,691,3b3a36,peat,0,175,None,None
#079acf,7,154,207,116.08,139,,,0,176,None,None
#3b3229,59,50,41,51.61,786,3b3a36,peat,0,177,None,None
#ced2dc,206,210,220,209.74,1614,e1dbc8,white-asparagus,11,178,Grey,DarkGray
#bed1dc,190,209,220,204.38,2078,d2d8d2,murmur,8,179,Blue,LightSkyBlue
#60839e,96,131,158,123.52,404,8c9cc1,lavender-lustre,11,180,Grey,DarkSlateGray
#787575,120,117,117,117.78,909,80765f,covert-green,11,181,Grey,DimGray
#63462f,99,70,47,75.95,491,625b5c,plum-kitten,0,182,None,None
#9ec1c3,158,193,195,182.6,571,897f98,dusk,0,183,None,None
#f4e2e7,244,226,231,231.71,575,f2f0eb,snow-white,9,184,Purple,Thistle
#081120,8,17,32,16.01,799,,,0,185,None,None
#a76689,167,102,137,125.26,381,9c8e7b,chinchilla,0,186,None,None
#3b829c,59,130,156,111.68,423,8a9992,green-milieu,8,187,Blue,RoyalBlue
#d2d3cd,210,211,205,209.81,1088,e1dbc8,white-asparagus,11,188,Grey,DarkGray
#88c4ec,136,196,236,182.48,352,d1d5d0,foggy-dew,8,189,Blue,CornflowerBlue
#324b64,50,75,100,70.33,604,5f5e62,castlerock,10,190,White,White
#e4d6c5,228,214,197,216.02,679,ddd5c7,birch,11,191,Grey,DarkGray
#f6794d,246,121,77,153.11,34,f3774d,coral-rose,2,192,Orange,Coral
#4c4c4d,76,76,77,76.04,878,5f5e62,castlerock,10,193,White,White
#9c9a75,156,154,117,150.22,226,947764,burro,0,194,None,None
#c9e6f4,201,230,244,222.72,648,d8e8e6,hint-of-mint,7,195,Cyan,Aquamarine
#baa9bd,186,169,189,176.18,373,d0c5b1,fog,11,196,Grey,LightSlateGray
#8e9199,142,145,153,144.87,698,9a927f,seneca-rock,11,197,Grey,SlateGray
#565d99,86,93,153,97.66,287,8e918f,neutral-gray,0,198,None,None
#fae6b8,250,230,184,230.49,355,f9c2cd,rose-shadow,1,199,Yellow,Moccasin
#a1b7b1,161,183,177,175.58,933,aeb2b5,high-rise,11,200,Grey,Gray
#daceba,218,206,186,207.09,785,d2cfc4,silver-birch,11,201,Grey,DarkGray
#542511,84,37,17,48.69,166,64242e,cabernet,0,202,None,None
#3d5c7b,61,92,123,86.2,673,66648b,twilight-purple,0,203,None,None
#203969,32,57,105,54.96,238,a3b4c4,celestial-blue,0,204,None,None
#5599a6,85,153,166,134.06,474,384c67,ensign-blue,7,205,Cyan,CadetBlue
#6a625b,106,98,91,99.49,880,776a5f,walnut,11,206,Grey,Black
#6a9ac4,106,154,196,144.33,565,77333b,ruby-wine,0,207,None,None
#a35a61,163,90,97,112.46,136,988467,kelp,0,208,None,None
#e47d73,228,125,115,154.43,203,fadc53,marigold,4,209,Red,LightCoral
#d8a358,216,163,88,170.08,222,d99938,golden-glow,5,210,Brown,SandyBrown
#0089a1,0,137,161,98.77,355,19187,Nifty Turquoise,7,211,Cyan,DarkCyan
#fbdea6,251,222,166,224.04,190,f9c2cd,rose-shadow,5,212,Brown,NavajoWhite
#89a39d,137,163,157,154.41,795,989a98,limestone,6,213,Green,DarkSeaGreen
#cec9c1,206,201,193,201.38,1192,d7d0c0,bone-white,11,214,Grey,LightSlateGray
#8b6c58,139,108,88,114.85,502,a0714f,lion,0,215,None,None
#edead9,237,234,217,232.72,819,f2f0eb,snow-white,9,216,Purple,Lavender
#ccb9c6,204,185,198,191.96,495,d7d0c0,bone-white,11,217,Grey,LightSlateGray
#86868c,134,134,140,134.55,908,9c8e7b,chinchilla,11,218,Grey,DimGray
#295f9a,41,95,154,85.54,284,95a69f,jadeite,0,219,None,None
#797e82,121,126,130,124.84,882,8d8070,timber-wolf,11,220,Grey,DimGray
#0f0f0b,15,15,11,14.53,902,,,10,221,White,Ivory
#619ddf,97,157,223,146.49,308,77333b,ruby-wine,8,222,Blue,DeepSkyBlue
#a49081,164,144,129,148.11,598,a59788,tuffet,5,223,Brown,RosyBrown
#687987,104,121,135,117.41,671,8e918f,neutral-gray,11,224,Grey,DarkSlateGray
#4d6684,77,102,132,97.87,459,66648b,twilight-purple,0,225,None,None
#91a3b6,145,163,182,159.64,843,cac5c2,wind-chime,11,226,Grey,Gray
#95b3ba,149,179,186,170.68,822,a9afaa,pigeon,11,227,Grey,Gray
#94c1dd,148,193,221,182.59,557,bdb369,golden-green,8,228,Blue,CornflowerBlue
#5e577e,94,87,126,93.44,401,686d6c,sedona-sage,11,229,Grey,Black
#343334,52,51,52,51.36,945,44413c,black-ink,0,230,None,None
#896e99,137,110,153,122.84,266,918c7e,laurel-oak,0,231,None,None
#3077aa,48,119,170,103.54,796,486b67,blue-spruce,8,232,Blue,RoyalBlue
#93b7cf,147,183,207,174.82,891,7181a4,english-manor,0,233,None,None
#9e9994,158,153,148,153.77,886,aea393,plaza-taupe,11,234,Grey,Gray
#67513d,103,81,61,85.19,564,5b5149,major-brown,0,235,None,None
#faebdb,250,235,219,237.41,602,f2f0eb,snow-white,9,236,Purple,Lavender
#6770a6,103,112,166,115.36,305,8e918f,neutral-gray,11,237,Grey,DarkSlateGray
#dfe1e2,223,225,226,224.29,1756,f0eee9,cloud-dancer,11,238,Grey,Silver
#8b8864,139,136,100,132.65,233,b68f52,honey-mustard,0,239,None,None
#003f7c,0,63,124,51.12,502,988088,toadstool,0,240,None,None
#acb7bd,172,183,189,180.22,926,c1bcac,pelican,11,241,Grey,LightSlateGray
#7e4029,126,64,41,79.79,167,6e493a,friar-brown,5,242,Brown,SaddleBrown
#75548f,117,84,143,100.48,375,8e918f,neutral-gray,0,243,None,None
#419cae,65,156,174,130.78,189,c9d3dc,illusion-blue,8,244,Blue,RoyalBlue
#34271f,52,39,31,41.92,770,39373b,phantom,0,245,None,None
#1a2931,26,41,49,37.4,450,2b2c30,stretch-limo,0,246,None,None
#f9fbfa,249,251,250,250.04,1680,f2f0eb,snow-white,10,247,White,FloralWhite
#2e94c0,46,148,192,122.47,207,484a72,skipper-blue,0,248,None,None
#6a4368,106,67,104,82.77,363,696156,bungee-cord,0,249,None,None
