id,x,y,z,r,g,b,hex,datemod,location_tag,year,month
Pexels_Architecture_0000_2023_11_28,0.42555,0.465475,0.45052499999999995,128.6796,149.2677,152.2042,#809598,11/28/2023,Pexels_Architecture,0000,2023
Pexels_Architecture_0001_2023_11_28,0.38525,0.397775,0.3553,29.187916666666666,49.173433333333335,40.17936666666667,#1d3128,11/28/2023,Pexels_Architecture,0001,2023
Pexels_Architecture_0002_2023_11_28,0.36650000000000005,0.38522500000000004,0.324225,25.755343383584588,56.363450586264655,84.18874371859296,#193854,11/28/2023,Pexels_Architecture,0002,2023
Pexels_Architecture_0003_2023_11_28,0.4024,0.409775,0.40575000000000006,212.43785,213.08468333333334,205.41133333333335,#d4d5cd,11/28/2023,Pexels_Architecture,0003,2023
Pexels_Architecture_0004_2023_11_28,0.38185,0.40985,0.38749999999999996,172.43173333333334,181.51287407407406,177.3513925925926,#acb5b1,11/28/2023,Pexels_Architecture,0004,2023
Pexels_Architecture_0005_2023_11_28,0.38785,0.34979999999999994,0.3318,24.735677777777777,102.64954444444444,104.51665555555556,#186668,11/28/2023,Pexels_Architecture,0005,2023
Pexels_Architecture_0006_2023_11_28,0.3898,0.308125,0.33805,62.900888888888886,72.44786111111111,90.50561111111111,#3e485a,11/28/2023,Pexels_Architecture,0006,2023
Pexels_Architecture_0007_2023_11_28,0.3487,0.339275,0.322775,91.5352931323283,97.31683417085428,103.42524288107202,#5b6167,11/28/2023,Pexels_Architecture,0007,2023
Pexels_Architecture_0008_2023_11_28,0.4041,0.425875,0.41337500000000005,132.5430753968254,137.00075396825397,141.14746031746031,#84898d,11/28/2023,Pexels_Architecture,0008,2023
Pexels_Coastline_0000_2023_11_28,0.367975,0.3288,0.337725,154.51899497487437,142.47515912897822,134.00234505862647,#9a8e86,11/28/2023,Pexels_Coastline,0000,2023
Pexels_Coastline_0001_2023_11_28,0.3382,0.37245,0.340425,101.49097152428811,115.77128978224455,124.66785594639866,#65737c,11/28/2023,Pexels_Coastline,0001,2023
Pexels_Coastline_0002_2023_11_28,0.364,0.35075,0.36055,90.42673333333333,90.26431666666667,81.43203333333334,#5a5a51,11/28/2023,Pexels_Coastline,0002,2023
Pexels_Coastline_0003_2023_11_28,0.438625,0.38725,0.412275,148.92621666666668,142.02815,135.08135,#948e87,11/28/2023,Pexels_Coastline,0003,2023
Pexels_Coastline_0004_2023_11_28,0.436375,0.34875,0.3729,142.18956666666668,107.16633333333333,55.917716666666664,#8e6b37,11/28/2023,Pexels_Coastline,0004,2023
Pexels_Hills_0000_2023_11_28,0.438975,0.41664999999999996,0.44055,121.37618803418803,118.90870085470085,94.30962393162393,#79765e,11/28/2023,Pexels_Hills,0000,2023
Pexels_Hills_0001_2023_11_28,0.30674999999999997,0.35505,0.28635,46.612857142857145,88.73151360544217,90.04311224489796,#2e585a,11/28/2023,Pexels_Hills,0001,2023
Pexels_Hills_0002_2023_11_28,0.325275,0.37424999999999997,0.32597499999999996,121.16857621440536,128.22400335008376,131.02762144053602,#798083,11/28/2023,Pexels_Hills,0002,2023
Pexels_Hills_0003_2023_11_28,0.40240000000000004,0.31120000000000003,0.30495,87.50223333333334,66.31415,80.36383333333333,#574250,11/28/2023,Pexels_Hills,0003,2023
Pexels_Hills_0004_2023_11_28,0.372625,0.3828,0.36119999999999997,128.4675148809524,117.93340773809524,113.97730654761905,#807571,11/28/2023,Pexels_Hills,0004,2023
Pexels_Skyline_0000_2023_11_28,0.359525,0.45102500000000006,0.40102499999999996,138.0742074074074,151.68001481481483,147.80659259259258,#8a9793,11/28/2023,Pexels_Skyline,0000,2023
Pexels_Skyline_0001_2023_11_28,0.378425,0.38827500000000004,0.38330000000000003,175.82712797619047,182.43480654761905,184.03098214285714,#afb6b8,11/28/2023,Pexels_Skyline,0001,2023
Pexels_Skyline_0002_2023_11_28,0.360475,0.3570249999999999,0.36057500000000003,125.52125,138.52646666666666,135.18333333333334,#7d8a87,11/28/2023,Pexels_Skyline,0002,2023
Pexels_Skyline_0003_2023_11_28,0.45919999999999994,0.5,0.318075,160.42153846153846,54.99424679487179,2.0069871794871794,#a03602,11/28/2023,Pexels_Skyline,0003,2023
Pexels_Skyline_0004_2023_11_28,0.472275,0.448575,0.46045,115.3026388888889,106.42529166666667,98.24727777777778,#736a62,11/28/2023,Pexels_Skyline,0004,2023
Pexels_Skyline_0005_2023_11_28,0.343875,0.343875,0.3172,91.34661666666666,108.96335,123.73608333333334,#5b6c7b,11/28/2023,Pexels_Skyline,0005,2023
Pexels_Skyline_0006_2023_11_28,0.37007500000000004,0.36319999999999997,0.32657500000000006,56.799533333333336,64.19643333333333,74.61206666666666,#38404a,11/28/2023,Pexels_Skyline,0006,2023
Pexels_Skyline_0007_2023_11_28,0.367475,0.314825,0.31757500000000005,86.65316666666666,92.71735,104.28213333333333,#565c68,11/28/2023,Pexels_Skyline,0007,2023
Pexels_Skyline_0008_2023_11_28,0.29927499999999996,0.340675,0.338475,133.06533333333334,125.4445,106.59438333333334,#857d6a,11/28/2023,Pexels_Skyline,0008,2023
Pexels_Skyline_0009_2023_11_28,0.37065,0.37075,0.35450000000000004,29.31595,31.183183333333332,44.71641666666667,#1d1f2c,11/28/2023,Pexels_Skyline,0009,2023
Pexels_Streetscape_0000_2023_11_28,0.31967500000000004,0.37520000000000003,0.31465000000000004,69.8486531986532,88.69526936026936,98.07946127946128,#455862,11/28/2023,Pexels_Streetscape,0000,2023
Pexels_Streetscape_0001_2023_11_28,0.403775,0.43685000000000007,0.41530000000000006,150.20261666666667,156.86966666666666,161.78535,#969ca1,11/28/2023,Pexels_Streetscape,0001,2023
Pexels_Streetscape_0002_2023_11_28,0.39154999999999995,0.3436,0.35862499999999997,143.20872222222224,126.77769444444445,116.66656944444445,#8f7e74,11/28/2023,Pexels_Streetscape,0002,2023
Pexels_Streetscape_0003_2023_11_28,0.417325,0.427575,0.42317499999999997,120.32688442211055,122.27698492462312,126.03566164154104,#787a7e,11/28/2023,Pexels_Streetscape,0003,2023
Pexels_Streetscape_0004_2023_11_28,0.28965,0.30422499999999997,0.29059999999999997,49.58715,104.0038,133.29655,#316885,11/28/2023,Pexels_Streetscape,0004,2023
Pexels_Streetscape_0005_2023_11_28,0.34985,0.30955,0.31687499999999996,89.34184254606365,117.07185929648242,134.40061976549413,#597586,11/28/2023,Pexels_Streetscape,0005,2023
Pexels_Streetscape_0006_2023_11_28,0.340975,0.33792500000000003,0.346375,68.625,61.87851666666667,55.345816666666664,#443d37,11/28/2023,Pexels_Streetscape,0006,2023
Pexels_Streetscape_0007_2023_11_28,0.384325,0.42264999999999997,0.41222499999999995,107.82618090452262,113.1789782244556,111.72249581239531,#6b716f,11/28/2023,Pexels_Streetscape,0007,2023
Pexels_Urban-From Air_0000_2023_11_28,0.382225,0.39845,0.387475,140.1913065326633,138.75899497487438,141.36934673366835,#8c8a8d,11/28/2023,Pexels_Urban-From Air,0000,2023
