hex,r,g,b,gs,cluster_size,pantone_hex,pantone_name,group_id,cluster_id,ref_cat,ref_name
#cd974a,205,151,74,158.16,191,ca6c56,langoustino,5,146,Brown,Peru
#1e130c,30,19,12,21.46,796,,,0,147,None,None
#bacbd8,186,203,216,199.21,1401,d2d8d2,murmur,8,148,Blue,LightSkyBlue
#abb8c1,171,184,193,180.97,1377,bdb6ab,silver-lining,11,149,Grey,LightSlateGray
#bdabbe,189,171,190,178.36,378,d0c5b1,fog,11,150,Grey,LightSlateGray
#055464,5,84,100,62.2,290,0084a1,barrier-reef,0,151,None,None
#8c8965,140,137,101,133.65,238,b68f52,honey-mustard,0,152,None,None
#4b769c,75,118,156,109.4,560,3c586b,indian-teal,8,153,Blue,RoyalBlue
#9e3a0a,158,58,10,82.27,56,b44e5d,holly-berry,5,154,Brown,SaddleBrown
#6f74a9,111,116,169,120.44,332,9f9c99,paloma,11,155,Grey,SlateGray
#006396,0,99,150,75.21,892,019D6E,Jitterbug Jade,0,156,None,None
#cdbac7,205,186,199,192.96,474,ddd5c7,birch,11,157,Grey,LightSlateGray
#d5d3cd,213,211,205,210.7,1441,e1dbc8,white-asparagus,11,158,Grey,DarkGray
#6c6a6b,108,106,107,106.6,964,827064,pine-bark,11,159,Grey,Black
#6c9bc6,108,155,198,145.74,559,77333b,ruby-wine,0,160,None,None
#08a5d6,8,165,214,123.63,79,,,0,161,None,None
#c7beb2,199,190,178,191.12,1311,d0c5b1,fog,11,162,Grey,LightSlateGray
#8e5e8c,142,94,140,113.45,481,938772,coriander,0,163,None,None
#272517,39,37,23,35.96,608,2f2d30,moonless-night,0,164,None,None
#928fb8,146,143,184,148.42,332,cac5c2,wind-chime,0,165,None,None
#fae7d2,250,231,210,234.04,701,f6e5db,sheer-pink,9,166,Purple,Lavender
#b17c8b,177,124,139,141.38,208,a79b82,twill,5,167,Brown,RosyBrown
#2b6b87,43,107,135,91.01,594,1f5da0,strong-blue,0,168,None,None
#568ed0,86,142,208,132.69,378,77333b,ruby-wine,0,169,None,None
#f38c7f,243,140,127,169.07,278,fa7a35,orange-peel,4,170,Red,LightCoral
#41b8e2,65,184,226,153.14,64,433331,java,0,171,None,None
